	id	ingredient	name
0	100_-Yummy-Banana-Bread-Recipezaar	all-purpose flour	100% Yummy Banana Bread
1	100_-Yummy-Banana-Bread-Recipezaar	baking soda	100% Yummy Banana Bread
2	100_-Yummy-Banana-Bread-Recipezaar	bananas	100% Yummy Banana Bread
3	100_-Yummy-Banana-Bread-Recipezaar	butter	100% Yummy Banana Bread
4	100_-Yummy-Banana-Bread-Recipezaar	egg	100% Yummy Banana Bread
5	100_-Yummy-Banana-Bread-Recipezaar	nuts	100% Yummy Banana Bread
6	100_-Yummy-Banana-Bread-Recipezaar	sugar	100% Yummy Banana Bread
7	100_-Yummy-Banana-Bread-Recipezaar	vanilla	100% Yummy Banana Bread
8	100_stroke-Banana-Bread-Recipezaar	baking soda	100-Stroke Banana Bread
9	100_stroke-Banana-Bread-Recipezaar	bananas	100-Stroke Banana Bread
10	100_stroke-Banana-Bread-Recipezaar	canola oil	100-Stroke Banana Bread
11	100_stroke-Banana-Bread-Recipezaar	egg	100-Stroke Banana Bread
12	100_stroke-Banana-Bread-Recipezaar	flour	100-Stroke Banana Bread
13	100_stroke-Banana-Bread-Recipezaar	raisins	100-Stroke Banana Bread
14	100_stroke-Banana-Bread-Recipezaar	salt	100-Stroke Banana Bread
15	100_stroke-Banana-Bread-Recipezaar	sugar	100-Stroke Banana Bread
16	100_stroke-Banana-Bread-Recipezaar	walnuts	100-Stroke Banana Bread
17	1st-Place-Banana-Nut-Bread-Recipezaar	baking soda	1st Place Banana Nut Bread
18	1st-Place-Banana-Nut-Bread-Recipezaar	bananas	1st Place Banana Nut Bread
19	1st-Place-Banana-Nut-Bread-Recipezaar	chopped walnuts	1st Place Banana Nut Bread
20	1st-Place-Banana-Nut-Bread-Recipezaar	eggs	1st Place Banana Nut Bread
21	1st-Place-Banana-Nut-Bread-Recipezaar	fresh lemon juice	1st Place Banana Nut Bread
22	1st-Place-Banana-Nut-Bread-Recipezaar	milk	1st Place Banana Nut Bread
23	1st-Place-Banana-Nut-Bread-Recipezaar	salt	1st Place Banana Nut Bread
24	1st-Place-Banana-Nut-Bread-Recipezaar	sugar	1st Place Banana Nut Bread
25	1st-Place-Banana-Nut-Bread-Recipezaar	sweet butter	1st Place Banana Nut Bread
26	1st-Place-Banana-Nut-Bread-Recipezaar	unbleached flour	1st Place Banana Nut Bread
27	1st-Place-Banana-Nut-Bread-Recipezaar	vanilla extract	1st Place Banana Nut Bread
28	5-Minute-Banana-Bread-Food_com-178773	banana	5 Minute Banana Bread
29	5-Minute-Banana-Bread-Food_com-178773	chopped pecans	5 Minute Banana Bread
30	5-Minute-Banana-Bread-Food_com-178773	flax seeds	5 Minute Banana Bread
31	5-Minute-Banana-Bread-Food_com-178773	protein powder	5 Minute Banana Bread
32	5-Minute-Banana-Bread-Food_com-178773	salt	5 Minute Banana Bread
33	5-Minute-Banana-Bread-Food_com-178773	skim milk	5 Minute Banana Bread
