recipe,bananas,eggs,allpurposeflour,sugar,salt,bakingsoda,vanillaextract,bakingpowder,butter,sour cream,milk,buttermilk,water,wholewheatflour
"Grandma-Isabelle_s-Banana-Bread-Recipezaar",3,2,1.75,1,1,1,0,0.5,0,0,0,0,0,0
"Buttermilk-Banana-Bread-Recipezaar_1",3.5,0,2,2,0,1.5,0,0,0.5,0,0,1.5,0,0
"Tarrah_s-Healthy-Banana-Bread-Recipezaar",4,0,0,0,0,1,1,0,0,0,0,0,0,2
"Banana-Nut-Bread-_lighter-Version_low_cal_-Recipezaar",1.5,2,2,1,0.5,0.75,1,0,0.25,0,0,0,0,0
"Holiday-Banana-Bread-Pudding-Martha-Stewart-239680",2,4,0,0,0,0,2,0,0,0,2.5,0,0,0
"Banana-Tea-Bread-From-The-New-York-Times-Recipezaar",1,2,1.75,0.666666666667,0.5,0.25,0,2,0,0,0,0,0,0
"Cherry-Banana-Bread-Recipezaar",1,2,1.75,0,0.5,0,0,2,0,0,0,0,0,0
"Banana-Walnut-Bread-Pudding-With-Buttery-Rum-Sauce-Food-Network",5,4,0,0,0,0,2,0,5,0,2,0,0,0
"100_-Yummy-Banana-Bread-Recipezaar",3,1,1.5,1,0,1,1,0,0.333333333333,0,0,0,0,0
"Bread-Machine-Banana-Oatmeal-Bread-Recipezaar",1,1,2.5,0,1.5,0,0,0,0,0,0,4,0.25,0
"Prize-Winning-Banana-Nut-Bread-Recipezaar",3,2,2,1.5,0,1.5,1,0,0.5,0,0.25,0,0,0
"Low-Fat-Banana-Bread-Or-Cake-Recipezaar",4,0,1.5,1,0,1,1,0.5,0,2,0,0,0,0
"Mels-Healthy-Banana-Bread-Recipezaar_1",1.33333333333,0,1,0,0.25,1,1,0,0,0,0,0,0,1
"Healthy-Banana-Bread-Food_com-97394",2,4,0,0.666666666667,0,1,1,0,0,0,0,0,0,1.5
"Banana-Cake-or-Bread-Food_com-138085",1,2,2,1.5,0.5,1,1,1,0.5,0,0,0.75,0,0
"Caramel_banana-Bread-Puddings-Epicurious",3,4,0,2.5,0,0,1,0,2,0,0.333333333333,0,0,0
"Never-Fail-Banana-Bread-Recipezaar",3,2,2,1,0.5,1,0,0,0,0,0,0,0,0
"Chocolate-Coconut-Banana-Nut-Bread-Recipezaar",1.5,4,3.5,1,1,0.5,0,4,0,0,0,0,0,0
"Raspberry-Banana-Bread-Allrecipes",1,2,1.75,1.5,1,1,0,0,0,0,0,0,0.333333333333,0
"Banana-Bread-Serious-Eats-46560",3,1,1.5,1,1,1,0,0,0.25,0,0,0,0,0
